genetic_variant,serotype
06A-I,06A
06A-II,06A
06A-III,06A
06A-IV,06A
06A-V,06A
06A-VI,06A
06B-I,06B
06B-II,06B
6E(6A),06A
6E(6B),06B
11F_like,11A
19AF,19F
19A-I,19A
19A-II,19A
19A-I/19A-II,19A
19A-III,19A
19F-I,19F
19F-II,19F
19F-III,19F
19F-IV,19F
23B1,23B
33F-1a,33F
33F-1b,33F
